,Unnamed: 0,arg0,arg1,v
2,2, they, sense, make
3,3, The disorder, it hard for them to keep a job or take care of themselves, makes
6,6, Psychotic symptoms, a person 's thinking, distort
8,8," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
10,10, Cognitive symptoms, the thought process, affect
12,12, what, schizophrenia, causes
19,19, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
20,20, It, the cognitive and psychomotor functions, affects
22,22, a person, the difference between real and unreal experiences, telling
24,24," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
26,26, Nearly everyone, some of these behaviors at times, shows
27,27, It, 3 - 5 percent of all American children, affects
35,35, by a marked pattern of inattention and/or, A disorder, characterized
41,41, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
45,45, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
49,49, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
53,53, Nearly everyone, some of these behaviors at times, shows
54,54, It, 3 - 5 percent of all American children, affects
62,62, by a marked pattern of inattention and/or, A disorder, characterized
68,68, Nearly everyone, some of these behaviors at times, shows
69,69, It, 3 - 5 percent of all American children, affects
77,77, by a marked pattern of inattention and/or, A disorder, characterized
83,83, Nearly everyone, some of these behaviors at times, shows
84,84, It, 3 - 5 percent of all American children, affects
92,92, by a marked pattern of inattention and/or, A disorder, characterized
101,101, The disorder, that the overall criteria for F91, requires
104,104, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
112,112, The disorder, that the overall criteria for F91, requires
116,116, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
119,119," by a persistent pattern of defiant , disobedient , and hostile behavior towards authority figures", A behavior disorder, characterized
124,124, The disorder, that the overall criteria for F91, requires
128,128, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
141,141," dread accompanied by restlessness , tension , tachycardia , and dyspnea unattached", A disorder, characterized
142,142, by anxious feelings or fear often accompanied by physical symptoms associated with anxiety, psychiatric disorders, characterized
154,154, by excessive worried thoughts that may be accompanied by restlessness, An emotional state, characterized
156,156, A person with anxiety, sweat, may
160,160, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
163,163, Most people, sad or irritable, feel
165,165, It, a person 's everyday emotional state, affects
173,173, by either a dysphoric mood or loss of interest or pleasure in usual activities, -An affective disorder, manifested
180,180, the symptoms, to the individual, distressing
192,192, the symptoms, to the individual, distressing
198,198," by restlessness , fatigue , inability to concentrate , irritability , muscle tension , and/or sleep disturbance and lasts for at least 6 months", The worry, accompanied
199,199," by excessive worry and feelings of fear , dread , and uneasiness that last six months or longer", A condition, marked
203,203, serious environmental distortions or privations, a crucial role, play
205,205, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
208,208, Food, the energy and nutrients you need to be healthy, provides
214,214, your doctor, the cause of the problem, diagnose
217,217," by not getting enough calories or the right amount of key nutrients , such as vitamins and minerals", A condition, caused
224,224, It," how a person acts and interacts with others , communicates", affects
235,235, Research, that both genes and environment play important roles, suggests
241,241, Neurodevelopmental disorders," with classic symptoms of impairment in verbal and nonverbal communication , social interactions , and/or imaginative play", presenting
243,243, by an individual, young children Anxiety, experienced
244,244, by recurrent excessive distress due to fear of separation from the home or from major attachment figures, An anxiety disorder, characterized
248,248, a psychological condition, children characterized, affects
249,249, Kussmal aphasia, to mutism in psychosis, refers
254,254, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
258,258, The tics," the form of eye - blinking , facial grimacing , or head - jerking", take
259,259, by recurrent TICS that may interfere with speech and other activities, Disorders, characterized
262,262," ( From DSM - IV , 1994)Habitual", rapid, repeated
267,267, Conditions, frequent and prominent tics, feature
270,270, by recurrent TICS that may interfere with speech and other activities, Disorders, characterized
273,273, these, have occurred concurrently, need
277,277, by recurrent TICS that may interfere with speech and other activities, Disorders, characterized
281,281, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
284,284, these, have occurred concurrently, need
288,288, by recurrent TICS that may interfere with speech and other activities, Disorders, characterized
292,292, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
298,298," ( From DSM - IV , 1994)Habitual", rapid, repeated
303,303, Conditions, frequent and prominent tics, feature
304,304, by urinary incontinence, enuresis NOS ( R32)An elimination disorder, characterized
308,308, Many children, the bed, wet
320,320, by fecal incontinence, An elimination disorder, characterized
332,332, conditions," your thinking , feeling , mood , and behavior", affect
339,339, You," answer questions about your thinking , feelings , and behaviors", will
340,340, Treatment, on which mental disorder you have and how serious it is, depends
341,341, You and your provider, work on a treatment plan just for you, will
344,344, Some people, social support and education, need
350,350, by behavioral and/or psychological abnormalities, A disorder, characterized
355,355, by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest, It, marked
357,357, by marked impairments, ( DSM - V)A disorder, characterized
358,358, A neurodevelopmental disorder," difficulty in social interactions , stereotypic behaviors , and a limited range of interests and activities", presenting
360,360, by the patient, Subjective evidence of disease, perceived
361,361, neurologic conditions," problems with movement , such as Increased movement that can be voluntary ( intentional ) or involuntary ( unintended ) Decreased or slow voluntary movement", cause
364,364, an inherited disease, to waste away, causes
367,367, It," tremors , slowness of movement , and trouble walking", causes
368,368, a condition," people to make sudden twitches , movements , or sounds ( tics ) Tremor and essential tremor , which cause involuntary trembling or shaking", causes
374,374, Syndromes, DYSKINESIAS, feature
379,379, by recurrent TICS that may interfere with speech and other, tic disorders, characterized
382,382, a problem, the flow of your speech, affects
386,386, young children, to speak, learning
390,390, Scientists, why some people stutter, understand
399,399, by recurrent TICS that may interfere with speech and other, tic disorders, characterized
